created_at,start_timestamp,end_timestamp,duration,trace_id,span_id,kind,level,parent_span_id,span_name,message,log_body,otel_status_code,otel_status_message,otel_links,otel_events,is_exception,tags,exception_message,exception_type,exception_stacktrace,attributes_json_schema,attributes,otel_scope_name,otel_scope_version,otel_scope_attributes,service_namespace,service_name,service_version,service_instance_id,process_pid,otel_resource_attributes,telemetry_sdk_name,telemetry_sdk_language,telemetry_sdk_version,deployment_environment,http_response_status_code,url_path,url_query,url_full,http_route,http_method,_lf_attributes/http.status_code,_lf_attributes/http.response.status_code,_lf_attributes/http.method,_lf_attributes/http.route,_lf_attributes/http.target,_lf_attributes/url.path,_lf_attributes/url.query,_lf_attributes/url.full,_lf_attributes/code.filepath,_lf_attributes/code.function,_lf_attributes/code.lineno,_lf_attributes/db.statement,_lf_attributes/db.query.text,_lf_attributes/http.request.body.text,_lf_attributes/http.response.body.text,_lf_attributes/fastapi.arguments.values,_lf_attributes/fastapi.arguments.errors,_lf_attributes/http.request.method,_lf_attributes/http.request.method_original,_lf_attributes/server.address,_lf_attributes/network.peer.address,_lf_attributes/http.request.body.size,_lf_attributes/http.response.body.size,_lf_attributes/url.template,_lf_attributes/user_agent.original,_lf_attributes/client.address,_lf_attributes/gen_ai.operation.name,_lf_attributes/gen_ai.request.model,_lf_attributes/gen_ai.response.model,_lf_attributes/gen_ai.system,_lf_attributes/gen_ai.usage.input_tokens,_lf_attributes/gen_ai.usage.output_tokens,_lf_attributes/job_id,_lf_otel_resource_attributes/service.name,_lf_otel_resource_attributes/service.namespace,_lf_otel_resource_attributes/service.version,_lf_otel_resource_attributes/service.instance.id,_lf_otel_resource_attributes/process.pid,_lf_otel_resource_attributes/telemetry.sdk.name,_lf_otel_resource_attributes/telemetry.sdk.language,_lf_otel_resource_attributes/telemetry.sdk.version,_lf_otel_resource_attributes/deployment.environment,_lf_otel_resource_attributes/deployment.environment.name,attributes_reduced,otel_resource_attributes_reduced,project_id,day
2025-08-12T01:24:52.006633Z,2025-08-12T01:15:35.707832Z,2025-08-12T01:24:50.702574Z,554.994742407,01989bd8d59b407f5414c82b01982cd8,9789b6ab224f3a72,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 72c06643-a2fa-4186-aa5c-9ec33ae9b445,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_fb641bb0141149eea88bd6cf66a2dbb1"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 72c06643-a2fa-4186-aa5c-9ec33ae9b445""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_fb641bb0141149eea88bd6cf66a2dbb1"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 72c06643-a2fa-4186-aa5c-9ec33ae9b445""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:30:40.157709Z,2025-08-12T01:15:35.706009Z,2025-08-12T01:30:38.635563Z,902.929554224,01989bd8d59afa0a6fcb3901b084520f,368ad0a0d8602ef4,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 8131e2c0-0083-4265-9ce7-78c2d568425d,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_3acefe3c5cc94c6cb066a44900c5ed2a"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 8131e2c0-0083-4265-9ce7-78c2d568425d""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_3acefe3c5cc94c6cb066a44900c5ed2a"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 8131e2c0-0083-4265-9ce7-78c2d568425d""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:28:30.324666Z,2025-08-12T01:15:35.703461Z,2025-08-12T01:28:29.093822Z,773.390361412,01989bd8d5977d5312661380a5b083f9,378a0c60964e6371,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 56db2318-640f-477a-a82f-bc93ad13e882,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_f665ac30718b4d0eadbf611f01ad23ea"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 56db2318-640f-477a-a82f-bc93ad13e882""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_f665ac30718b4d0eadbf611f01ad23ea"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 56db2318-640f-477a-a82f-bc93ad13e882""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:21:48.053413Z,2025-08-12T01:15:35.699723Z,2025-08-12T01:21:46.492751Z,370.793028629,01989bd8d5931f2586815ebbdd4ddb12,227f13e300bf01b5,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 9b54f9d9-35ee-4a14-b62f-d130ea00317f,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_ef693eb12d1742eab4add64e13068b5d"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 9b54f9d9-35ee-4a14-b62f-d130ea00317f""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_ef693eb12d1742eab4add64e13068b5d"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 9b54f9d9-35ee-4a14-b62f-d130ea00317f""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:21:25.851037Z,2025-08-12T01:15:35.667546Z,2025-08-12T01:21:24.535783Z,348.868236751,01989bd8d573759ea04c651ae68d1ce9,a63a88ac08a88e70,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 983bba7c-c092-455f-b6c9-7857003d48fc,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_f6aa26d799ba49f2b99d0001fe905dda"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 983bba7c-c092-455f-b6c9-7857003d48fc""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_f6aa26d799ba49f2b99d0001fe905dda"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 983bba7c-c092-455f-b6c9-7857003d48fc""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:25:38.788600Z,2025-08-12T01:15:35.665927Z,2025-08-12T01:25:37.672106Z,602.006178328,01989bd8d57181a547bd5d04e0ba3797,ffc59e369203f2ec,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA de9887f5-ead8-4727-876f-5a4078f8598c,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_46c8a9c82bcb4ba080bc5582a5ef4c97"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA de9887f5-ead8-4727-876f-5a4078f8598c""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_46c8a9c82bcb4ba080bc5582a5ef4c97"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA de9887f5-ead8-4727-876f-5a4078f8598c""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:43:23.457109Z,2025-08-12T01:15:35.664337Z,2025-08-12T01:43:22.264325Z,1666.59998885,01989bd8d57033e080e0b30662629652,96c392d93477ba4c,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 384d0dd8-e8a4-4cfe-963c-d37f256e7662,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_4c72bbbbcca040fd827468c87c2e140a"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 384d0dd8-e8a4-4cfe-963c-d37f256e7662""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_4c72bbbbcca040fd827468c87c2e140a"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 384d0dd8-e8a4-4cfe-963c-d37f256e7662""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:17:51.115123Z,2025-08-12T01:15:35.662607Z,2025-08-12T01:17:49.978666Z,134.316058937,01989bd8d56ef821b9145895224f9f21,fd09ee5eea5d8fb6,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 00d579ea-0889-4fd9-a771-2c8d79835c8d,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_7daeb8667c82437987353a94257ecbe2"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 00d579ea-0889-4fd9-a771-2c8d79835c8d""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_7daeb8667c82437987353a94257ecbe2"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 00d579ea-0889-4fd9-a771-2c8d79835c8d""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:42:55.595144Z,2025-08-12T01:15:35.661001Z,2025-08-12T01:42:54.075449Z,1638.414447917,01989bd8d56d3330acff561926a2a193,b2793d60bf737c6e,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA bec74516-02fc-48dc-b202-55e78d0e17cf,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_bdef1e0f21a140b28c5117c6d43981a4"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA bec74516-02fc-48dc-b202-55e78d0e17cf""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_bdef1e0f21a140b28c5117c6d43981a4"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA bec74516-02fc-48dc-b202-55e78d0e17cf""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
2025-08-12T01:24:18.172120Z,2025-08-12T01:15:35.658973Z,2025-08-12T01:24:16.952481Z,521.293507659,01989bd8d56a6ec7003ab5a82bf65e0a,50d654b3e8b4d449,span,9,,OpenAI Agents trace: {name},OpenAI Agents trace: GAIA 676e5e31-a554-4acc-9286-b60d90a92d26,,UNSET,,[],[],false,[],,,,"{""type"":""object"",""properties"":{""agent_trace_id"":{},""group_id"":{""type"":""null""},""metadata"":{""type"":""null""},""name"":{}}}","{""agent_trace_id"":""trace_1a2a2c11f1464a86bf48bad90c344b28"",""code.filepath"":""GAIA_agent_design/research_bot/manager.py"",""code.function"":""GAIAResearchManager.run.<locals>.handle_task"",""code.lineno"":60,""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 676e5e31-a554-4acc-9286-b60d90a92d26""}",logfire.openai_agents,4.1.0,{},,unknown_service,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,"{""process.pid"":753426,""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3"",""service.instance.id"":""3bbca7b674fb4cb9b212a248b173bf81"",""service.name"":""unknown_service"",""service.version"":""8d330c88e87c14bd03e178057682933293953638"",""telemetry.sdk.language"":""python"",""telemetry.sdk.name"":""opentelemetry"",""telemetry.sdk.version"":""1.34.1""}",opentelemetry,python,1.34.1,,,,,,,,,,,,,,,,GAIA_agent_design/research_bot/manager.py,GAIAResearchManager.run.<locals>.handle_task,60,,,,,,,,,,,,,,,,,,,,,,,unknown_service,,8d330c88e87c14bd03e178057682933293953638,3bbca7b674fb4cb9b212a248b173bf81,753426,opentelemetry,python,1.34.1,,,"{""agent_trace_id"":""trace_1a2a2c11f1464a86bf48bad90c344b28"",""group_id"":null,""logfire.msg_template"":""OpenAI Agents trace: {name}"",""metadata"":null,""name"":""GAIA 676e5e31-a554-4acc-9286-b60d90a92d26""}","{""process.runtime.description"":""3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]"",""process.runtime.name"":""cpython"",""process.runtime.version"":""3.12.3""}",79f736cc-774d-4af2-b317-78d11f18c644,2025-08-12
