trace_id,trace_rank,question_level,trace_start,trace_end,span_count,trace_total_duration_ms,tokens_total,tokens_input_total,tokens_output_total,tokens_reasoning_total,evaluator_tokens_total,search_tokens_total,planner_tokens_total,writer_tokens_total,judge_tokens_total,planner_input_tokens,judge_input_tokens,evaluator_input_tokens,writer_input_tokens,search_input_tokens,evaluator_output_tokens,writer_output_tokens,judge_output_tokens,search_output_tokens,planner_output_tokens,judge_tokens_reasoning,planner_tokens_reasoning,search_tokens_reasoning,writer_tokens_reasoning,evaluator_tokens_reasoning,judge_duration_ms,writer_duration_ms,evaluator_duration_ms,search_duration_ms,planner_duration_ms
01989bd8d59b407f5414c82b01982cd8,1,L3,2025-08-12T01:15:35.707832+0000,2025-08-12T01:24:50.702574+0000,28,554994,250987,222184,28803,8576,1882,233856,2488,9613,3148,334,2483,1290,3450,214627,592,6163,665,19229,2154,640,1984,0,5440,512,22691,235023,16912,1408525,58906
01989bd8d59afa0a6fcb3901b084520f,2,L3,2025-08-12T01:15:35.706009+0000,2025-08-12T01:30:38.635563+0000,61,902929,453159,409678,43481,12480,6117,417922,1364,20321,7435,397,6159,4428,10430,388264,1689,9891,1276,29658,967,1024,832,0,9216,1408,46316,458679,79577,2896380,31284
01989bd8d5977d5312661380a5b083f9,3,L3,2025-08-12T01:15:35.703461+0000,2025-08-12T01:28:29.093822+0000,34,773390,183429,140591,42838,28608,3315,140166,1057,34727,4164,517,4072,2212,7098,126692,1103,27629,92,13474,540,64,384,0,27200,960,6666,856028,32431,1588612,23799
01989bd8d5931f2586815ebbdd4ddb12,4,L3,2025-08-12T01:15:35.699723+0000,2025-08-12T01:21:46.492751+0000,58,370793,620195,592910,27285,21312,8303,320200,28673,175442,87577,25572,82963,4684,164424,315267,3619,11018,4614,4933,3101,4416,2944,0,10560,3392,163330,458247,104832,262275,86225
01989bd8d573759ea04c651ae68d1ce9,5,L3,2025-08-12T01:15:35.667546+0000,2025-08-12T01:21:24.535783+0000,38,348868,131929,116869,15060,3136,2408,120121,2048,5065,2287,337,2197,1817,3760,108758,591,1305,90,11363,1711,64,1408,0,1088,576,6624,51943,19053,2425625,46818
01989bd8d57181a547bd5d04e0ba3797,6,L3,2025-08-12T01:15:35.665927+0000,2025-08-12T01:25:37.672106+0000,28,602006,204601,185487,19114,3328,1279,195627,895,5013,1787,320,1570,761,2460,180376,518,2553,217,15251,575,192,448,0,2304,384,9006,105000,14350,1877971,17818
01989bd8d57033e080e0b30662629652,7,L3,2025-08-12T01:15:35.664337+0000,2025-08-12T01:43:22.264325+0000,76,1666599,508697,444169,64528,23424,11254,440320,2781,40193,14149,356,12409,7739,22338,401327,3515,17855,1740,38993,2425,1600,2048,0,16768,3008,56584,870675,109751,5938311,63453
01989bd8d56ef821b9145895224f9f21,8,L3,2025-08-12T01:15:35.662607+0000,2025-08-12T01:17:49.978666+0000,28,134316,38626,31358,7268,2112,1863,29436,1417,3942,1968,321,1812,1463,3052,24710,400,890,156,4726,1096,128,896,0,704,384,7151,53878,14603,509610,33686
01989bd8d56d3330acff561926a2a193,9,L3,2025-08-12T01:15:35.661001+0000,2025-08-12T01:42:54.075449+0000,105,1638414,1470928,1379827,91101,13056,11304,1402033,2704,38384,16503,1401,15416,7727,29050,1326233,3577,9334,1087,75800,1303,832,960,0,8704,2560,39011,419226,103017,12768479,45080
01989bd8d56a6ec7003ab5a82bf65e0a,10,L3,2025-08-12T01:15:35.658973+0000,2025-08-12T01:24:16.952481+0000,40,521293,329459,299381,30078,5248,2151,314604,2491,7517,2696,385,2671,1286,4106,290933,865,3411,25,23671,2106,0,1728,0,2880,640,5057,142415,28494,2793728,55445
